,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,name_room,name_luxury,name_townhouse,name_private,name_hidden,name_tribeca,name_cozy,name_service,name_loft,name_fee,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,neighbourhood_frequency,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,has_review,days_since_last_review,distance_manhattan
0,0,0,0,40.64749,-73.97237,149,1,9,2018-10-19,0.21,6,365,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,175,0,1,0,1,262.0,0.13561504710023864
1,1,1,1,40.75362,-73.98377,225,1,45,2019-05-21,0.38,2,355,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1545,1,0,0,1,48.0,0.032048015539191246
2,2,2,2,40.80902,-73.9419,150,3,0,,0.0,1,365,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2658,0,1,0,0,-1.0,0.03911951431190705
3,3,3,3,40.68514,-73.95976,89,1,270,2019-07-05,4.64,1,194,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,572,1,0,0,1,3.0,0.09862573295038136
4,4,4,4,40.79851,-73.94399,80,10,9,2018-11-19,0.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1117,1,0,0,1,231.0,0.03127062839150987
5,5,5,5,40.74767,-73.975,200,3,74,2019-06-22,0.59,1,129,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,485,1,0,0,1,16.0,0.03563319940729221
6,6,6,6,40.68688,-73.95596,60,45,49,2017-10-05,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3714,0,1,0,1,641.0,0.09741943337958212
7,7,7,7,40.76489,-73.98493,79,2,430,2019-06-24,3.47,1,220,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1958,0,1,0,1,14.0,0.022806073752404805
8,8,8,8,40.80178,-73.96723,79,2,118,2017-07-21,0.99,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1971,0,1,0,1,717.0,0.019097206602016137
9,9,9,9,40.71344,-73.99037,150,1,160,2019-06-09,1.33,4,188,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,368,1,0,0,1,29.0,0.07224959861480167
10,10,10,10,40.80316,-73.96545,135,5,53,2019-06-22,0.43,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1971,1,0,0,1,16.0,0.020867824515266115
11,11,11,11,40.76076,-73.98867,85,2,188,2019-06-23,1.5,1,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1958,0,1,0,1,15.0,0.02835976903996391
12,12,12,12,40.66829,-73.98779,89,4,167,2019-06-24,1.34,3,314,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,284,0,1,0,1,14.0,0.11600243187106003
13,13,13,13,40.79826,-73.96113,85,2,113,2019-07-05,0.91,1,333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1971,0,1,0,1,3.0,0.01819973900911843
14,14,14,14,40.7353,-74.00525,120,90,27,2018-10-31,0.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,768,1,0,0,1,250.0,0.05868766906258982
15,15,15,15,40.70837,-73.95352,140,2,148,2019-06-29,1.2,1,46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3920,1,0,0,1,9.0,0.07679293782633431
16,16,16,16,40.69169,-73.97185,215,2,198,2019-06-28,1.72,1,321,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,489,1,0,0,1,10.0,0.09141231098708379
17,17,17,17,40.74192,-73.99501,140,1,260,2019-07-01,2.12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1113,0,1,0,1,7.0,0.04756793562894694
18,18,18,18,40.67592,-73.94694,99,3,53,2019-06-22,4.44,1,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1564,1,0,0,1,16.0,0.10989130993850163
19,19,19,19,40.79685,-73.94872,190,7,0,,0.0,2,249,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1117,1,0,0,0,-1.0,0.026351715314190068
20,20,20,20,40.71842,-73.95718,299,3,9,2011-12-28,0.07,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3920,1,0,0,1,2749.0,0.06618204288173261
